id;lname;fname;additional;dob;is_alive
535;Rather;Dan;Scorpio;1931-10-31;true
536;Nichols;Mike;Scorpio;1931-11-06;false
537;Shuster;Bud;Aquarius;1932-01-23;true
538;Williams;John;Aquarius;1932-02-08;true
539;Kennedy;Edward M;Pisces;1932-02-22;false
540;Taylor;Elizabeth;Pisces;1932-02-27;false
541;Updike;John;Pisces;1932-03-18;false
542;Reynolds;Debbie;Aries;1932-04-01;false
543;May;Elaine;Taurus;1932-04-21;true
544;Domenici;Pete V;Taurus;1932-05-07;false
545;Dunne;John Gregory;Gemini;1932-05-25;false
546;Cuomo;Mario M;Gemini;1932-06-15;false
547;Murtha;John P;Gemini;1932-06-17;false
548;Rumsfeld;Donald H;Cancer;1932-07-09;true
549;Gould;Glenn;Libra;1932-09-25;false
550;Plath;Sylvia;Scorpio;1932-10-27;false
551;Malle;Louis;Scorpio;1932-10-30;false
552;Burstyn;Ellen;Sagittarius;1932-12-07;true
553;Sontag;Susan;Capricorn;1933-01-16;false
554;Rivera;Chita;Aquarius;1933-01-23;true
555;Fayed;Mohamed al-;Aquarius;1933-01-27;true
556;Sarbanes;Paul S;Aquarius;1933-02-03;true
557;Ono;Yoko;Aquarius;1933-02-18;true
558;Caine;Michael;Pisces;1933-03-14;true
559;Jones;Quincy;Pisces;1933-03-14;true
560;Ginsburg;Ruth Bader;Pisces;1933-03-15;true
561;Roth;Philip;Pisces;1933-03-19;false
562;Burnett;Carol;Taurus;1933-04-26;true
563;Nelson;Willie;Taurus;1933-04-29;true
564;Brown;James;Taurus;1933-05-03;false
565;Farrakhan;Louis;Taurus;1933-05-11;true
566;Collins;Joan;Gemini;1933-05-23;true
567;Rivers;Joan;Gemini;1933-06-08;false
568;Bailey;F Lee;Gemini;1933-06-10;true
569;Aiello;Danny;Gemini;1933-06-20;false
570;Feinstein;Dianne;Cancer;1933-06-22;true
571;Abbado;Claudio;Cancer;1933-06-26;false
572;McCullough;David;Cancer;1933-07-07;true
573;Sacks;Oliver;Cancer;1933-07-09;false
574;de la Renta;Oscar;Cancer;1933-07-22;false
575;Rogers;Richard;Leo;1933-07-23;false
576;Falwell;Jerry;Leo;1933-08-11;false
577;Polanski;Roman;Leo;1933-08-18;true
578;Mitchell;George J;Leo;1933-08-20;true
579;Grassley;Charles E;Virgo;1933-09-17;true
580;Dukakis;Michael S;Scorpio;1933-11-03;true
581;King;Larry;Scorpio;1933-11-19;true
582;Horne;Marilyn;Capricorn;1934-01-16;true
583;Aaron;Hank;Aquarius;1934-02-05;true
584;Noriega;Manuel Antonio;Aquarius;1934-02-11;false
585;Nader;Ralph;Pisces;1934-02-27;true
586;Donaldson;Sam;Pisces;1934-03-11;true
587;Hatch;Orrin G;Aries;1934-03-22;true
588;Steinem;Gloria;Aries;1934-03-25;true
589;Arkin;Alan;Aries;1934-03-26;true
590;Goodall;Jane;Aries;1934-04-03;true
591;Halberstam;David;Aries;1934-04-10;false
592;MacLaine;Shirley;Taurus;1934-04-24;true
593;Shelby;Richard C;Taurus;1934-05-06;true
594;Lehrer;Jim;Taurus;1934-05-19;false
595;Moyers;Bill;Gemini;1934-06-05;true
596;Levin;Carl;Cancer;1934-06-28;true
597;Armani;Giorgio;Capricorn;1934-07-11;true
598;Cliburn;Van;Cancer;1934-07-12;false
599;Kuralt;Charles;Virgo;1934-09-10;false
600;Cohen;Leonard;Virgo;1934-09-21;false
601;Bardot;Brigitte;Libra;1934-09-28;true
602;Arnett;Peter;Scorpio;1934-11-13;true
603;Marshall;Garry;Scorpio;1934-11-13;false
604;Inhofe;James M;Scorpio;1934-11-17;true
605;Didion;Joan;Sagittarius;1934-12-05;true
606;Dench;Judi;Sagittarius;1934-12-09;true
607;Smith;Maggie;Capricorn;1934-12-28;true
608;Presley;Elvis;Capricorn;1935-01-08;false
609;Bono;Sonny;Aquarius;1935-02-16;false
610;Freni;Mirella;Pisces;1935-02-27;false
611;Leroy;Warner;Pisces;1935-03-03;false
612;Hirsch;Judd;Pisces;1935-03-15;true
613;Abbas;Mahmoud;Aries;1935-03-26;true
614;Hamill;Pete;Cancer;1935-06-24;false
615;Dalai Lama;;Cancer;1935-07-06;true
616;Kemp;Jack F;Cancer;1935-07-13;false
617;Sutherland;Donald;Cancer;1935-07-17;true
618;Jordan;Vernon E Jr;Leo;1935-08-15;true
619;Paul;Ron;Leo;1935-08-20;true
620;Ferraro;Geraldine A;Virgo;1935-08-26;false
621;Andrews;Julie;Libra;1935-10-01;true
622;Pavarotti;Luciano;Libra;1935-10-12;false
623;Orbach;Jerry;Libra;1935-10-20;false
624;Allen;Woody;Sagittarius;1935-12-01;true
625;Donahue;Phil;Sagittarius;1935-12-21;true
626;Koufax;Sandy;Capricorn;1935-12-30;true
627;Alda;Alan;Aquarius;1936-01-28;true
628;Reynolds;Burt;Aquarius;1936-02-11;false
629;Icahn;Carl C;Aquarius;1936-02-16;true
630;Jordan;Barbara;Pisces;1936-02-21;false
631;Barry;Marion S Jr;Pisces;1936-03-06;false
632;Scalia;Antonin;Pisces;1936-03-11;false
633;de Klerk;F W;Pisces;1936-03-18;true
634;Mehta;Zubin;Taurus;1936-04-29;true
635;Hopper;Dennis;Taurus;1936-05-17;false
636;Abrams;Floyd;Cancer;1936-07-09;true
637;Mikulski;Barbara A;Cancer;1936-07-20;true
638;Kennedy;Anthony M;Leo;1936-07-23;true
639;Dole;Elizabeth;Leo;1936-07-29;true
640;Poindexter;John M;Leo;1936-08-12;true
641;Redford;Robert;Leo;1936-08-18;true
642;Chamberlain;Wilt;Leo;1936-08-21;false
643;McCain;John;Virgo;1936-08-29;false
644;Grove;Andrew S;Virgo;1936-09-02;false
645;Danforth;John C;Virgo;1936-09-05;true
646;Berlusconi;Silvio;Libra;1936-09-29;true
647;Dutoit;Charles;Libra;1936-10-07;true
648;Graham;Bob;Scorpio;1936-11-09;true
649;Cavett;Dick;Scorpio;1936-11-19;true
650;Hart;Gary;Sagittarius;1936-11-28;true
651;Merchant;Ismail;Capricorn;1936-12-25;false
652;Moore;Mary Tyler;Capricorn;1936-12-29;false
653;Redgrave;Vanessa;Aquarius;1937-01-30;true
654;Glass;Philip;Aquarius;1937-01-31;true
655;Beatty;Warren;Aries;1937-03-30;true
656;Hersh;Seymour M;Aries;1937-04-08;true
657;Nicholson;Jack;Taurus;1937-04-22;true
658;Hussein;Saddam;Taurus;1937-04-28;false
659;Carlin;George;Taurus;1937-05-12;false
660;Albright;Madeleine K;Taurus;1937-05-15;true
661;Claybrook;Joan;Gemini;1937-06-12;true
662;Norton;Eleanor Holmes;Gemini;1937-06-13;true
663;Stoppard;Tom;Cancer;1937-07-03;true
664;Hockney;David;Cancer;1937-07-09;true
665;Cosby;Bill;Cancer;1937-07-12;true
666;Thompson;Hunter S;Cancer;1937-07-18;false
667;Hoffman;Dustin;Leo;1937-08-08;true
668;Cochran;Johnnie L Jr;Libra;1937-10-02;false
669;Ross;Wilbur L Jr;Sagittarius;1937-11-28;true
670;Cochran;Thad;Sagittarius;1937-12-07;false
671;Fonda;Jane;Sagittarius;1937-12-21;true
672;Hopkins;Anthony;Capricorn;1937-12-31;true
673;Langella;Frank;Capricorn;1938-01-01;true
674;Juan Carlos I;;Capricorn;1938-01-05;true
675;Blume;Judy;Aquarius;1938-02-12;true
676;Nureyev;Rudolf;Pisces;1938-03-17;false
677;Madoff;Bernard L;Taurus;1938-04-29;true
678;Oates;Joyce Carol;Gemini;1938-06-16;true
679;Burton;Dan;Gemini;1938-06-21;true
680;Babbitt;Bruce;Cancer;1938-06-27;true
681;Panetta;Leon E;Cancer;1938-06-28;true
682;Rigg;Diana;Cancer;1938-07-20;true
683;Reno;Janet;Cancer;1938-07-21;false
684;Deutch;John M;Leo;1938-07-27;true
685;Jennings;Peter;Leo;1938-07-29;false
686;Breyer;Stephen G;Leo;1938-08-15;true
687;Waters;Maxine;Leo;1938-08-15;true
688;Dershowitz;Alan M;Virgo;1938-09-01;true
689;Nunn;Sam;Virgo;1938-09-08;true
690;Heinz Kerry;Teresa;Libra;1938-10-05;true
691;Turner;Ted;Scorpio;1938-11-19;true
692;Du Pont;John E;Scorpio;1938-11-22;false
693;Goss;Porter J;Sagittarius;1938-11-26;true
694;Voight;Jon;Capricorn;1938-12-29;true
695;Bennett;Robert S;Capricorn;1939-01-01;true
696;Lake;Anthony;Aries;1939-04-02;true
697;Coppola;Francis Ford;Aries;1939-04-07;true
698;Ayckbourn;Alan;Aries;1939-04-12;true
699;Collins;Judy;Taurus;1939-05-01;true
700;Keitel;Harvey;Taurus;1939-05-13;true
701;Hoyer;Steny H;Gemini;1939-06-14;true
702;Robb;Charles S;Cancer;1939-06-26;true
703;Ventura;Jesse;Cancer;1939-07-15;true
704;Negroponte;John D;Cancer;1939-07-21;true
705;Bogdanovich;Peter;Leo;1939-07-30;true
706;Tomlin;Lily;Virgo;1939-09-01;true
707;Waxman;Henry A;Virgo;1939-09-12;true
708;Souter;David H;Virgo;1939-09-17;true
709;Lauren;Ralph;Libra;1939-10-14;true
710;Ditka;Mike;Libra;1939-10-18;true
711;Oswald;Lee Harvey;Libra;1939-10-18;false
712;Alexander;Jane;Scorpio;1939-10-28;true
713;Atwood;Margaret;Scorpio;1939-11-18;true
714;Harkin;Tom;Scorpio;1939-11-19;true
715;Turner;Tina;Sagittarius;1939-11-26;true
716;Reid;Harry;Sagittarius;1939-12-02;true
717;Galway;James;Sagittarius;1939-12-08;true
718;Hayden;Tom;Sagittarius;1939-12-11;false
719;Spector;Phil;Capricorn;1939-12-26;true
720;Bearden;Milt;Capricorn;1940-01-01;true
721;Eschenbach;Christoph;Capricorn;1940-01-01;true
722;Qaddafi;Muammar el-;Capricorn;1940-01-01;false
723;Bond;Julian;Capricorn;1940-01-14;false
724;Koppel;Ted;Aquarius;1940-02-08;true
725;Julia;Raul;Pisces;1940-03-09;false
726;Pelosi;Nancy;Aries;1940-03-26;true
727;Leahy;Patrick J;Aries;1940-03-31;true
728;Hancock;Herbie;Aries;1940-04-12;true
729;Pacino;Al;Taurus;1940-04-25;true
730;Brodsky;Joseph;Gemini;1940-05-24;false
731;Alexander;Lamar;Cancer;1940-07-03;true
732;Armey;Dick;Cancer;1940-07-07;true
733;Starr;Ringo;Cancer;1940-07-07;true
734;Stewart;Patrick;Cancer;1940-07-13;true
735;Imus;Don;Leo;1940-07-23;false
736;Sheen;Martin;Leo;1940-08-03;true
737;Cohen;William S;Virgo;1940-08-28;true
738;Brady;James S;Virgo;1940-08-29;false
739;de Palma;Brian;Virgo;1940-09-11;true
740;Olson;Theodore B;Virgo;1940-09-11;true
741;Lennon;John;Libra;1940-10-09;false
742;Pele;;Libra;1940-10-23;true
743;Boxer;Barbara;Scorpio;1940-11-11;true
744;Pryor;Richard;Sagittarius;1940-12-01;false
745;Zappa;Frank;Sagittarius;1940-12-21;false
746;Fauci;Anthony S;Capricorn;1940-12-24;true
747;Baez;Joan;Capricorn;1941-01-09;true
748;Dunaway;Faye;Capricorn;1941-01-14;true
749;Domingo;Placido;Aquarius;1941-01-21;true
750;Diamond;Neil;Aquarius;1941-01-24;true
751;Cheney;Dick;Aquarius;1941-01-30;true
752;Gephardt;Richard A;Aquarius;1941-01-31;true
753;Nolte;Nick;Aquarius;1941-02-08;true
754;Kim Jong Il;;Aquarius;1941-02-16;false
755;Dawkins;Richard;Aries;1941-03-26;true
756;Rose;Pete;Aries;1941-04-14;true
757;Will;George F;Taurus;1941-05-04;true
758;Hoffa;James P;Taurus;1941-05-09;false
759;Brody;Jane E;Taurus;1941-05-19;true
760;Ephron;Nora;Taurus;1941-05-19;false
761;Dylan;Bob;Gemini;1941-05-24;true
762;Ames;Aldrich Hazen;Gemini;1941-05-26;true
763;Gray;Spalding;Gemini;1941-06-05;false
764;Albert;Marv;Gemini;1941-06-12;true
765;Corea;Chick;Gemini;1941-06-12;true
766;Tharp;Twyla;Cancer;1941-07-01;true
767;Stewart;Martha;Leo;1941-08-03;true
768;Garcetti;Gil;Leo;1941-08-05;true
769;Cheney;Lynne V;Leo;1941-08-14;true
770;Ehrenreich;Barbara;Virgo;1941-08-26;true
771;Sanders;Bernard;Virgo;1941-09-08;true
772;Gould;Stephen Jay;Virgo;1941-09-10;false
773;Jackson;Jesse L;Libra;1941-10-08;true
774;Tribe;Laurence H;Libra;1941-10-10;true
775;Simon;Paul;Libra;1941-10-13;true
776;Baucus;Max;Sagittarius;1941-12-11;true
777;Rose;Charlie;Capricorn;1942-01-05;true
778;Hawking;Stephen W;Capricorn;1942-01-08;false
779;Ali;Muhammad;Capricorn;1942-01-17;false
780;Diller;Barry;Aquarius;1942-02-02;true
781;Barak;Ehud;Aquarius;1942-02-12;true
782;Bloomberg;Michael R;Aquarius;1942-02-14;true
783;McConnell;Mitch;Pisces;1942-02-20;true
784;Eisner;Michael D;Pisces;1942-03-07;true
785;Franklin;Aretha;Aries;1942-03-25;false
786;Jong;Erica;Aries;1942-03-26;true
787;Ramey;Samuel;Aries;1942-03-28;true
788;Kelley;Kitty;Aries;1942-04-04;true
789;Levinson;Barry;Aries;1942-04-06;true
790;Streisand;Barbra;Taurus;1942-04-24;true
791;Ashcroft;John;Taurus;1942-05-09;true
792;McCartney;Paul;Gemini;1942-06-18;true
793;Ford;Harrison;Cancer;1942-07-13;true
794;Garcia;Jerry;Leo;1942-08-01;false
795;Allende;Isabel;Leo;1942-08-02;true
796;Keillor;Garrison;Leo;1942-08-07;true
797;Johnson;Betsey;Leo;1942-08-10;true
798;Cleland;Max;Virgo;1942-08-24;true
799;Herzog;Werner;Virgo;1942-09-05;true
800;Chase;Chevy;Virgo;1942-09-10;true
801;Crichton;Michael;Libra;1942-10-23;false
802;Flynt;Larry;Scorpio;1942-11-01;true
803;Barenboim;Daniel;Scorpio;1942-11-15;true
804;Scorsese;Martin;Scorpio;1942-11-17;true
805;Biden;Joseph R Jr;Scorpio;1942-11-20;true
806;Hendrix;Jimi;Sagittarius;1942-11-27;false
807;Davis;Gray;Capricorn;1942-12-26;true
808;Goodwin;Doris Kearns;Capricorn;1943-01-04;true
809;Eizenstat;Stuart E;Capricorn;1943-01-15;true
810;Joplin;Janis;Capricorn;1943-01-19;false
811;Danner;Blythe;Aquarius;1943-02-03;true
812;Leigh;Mike;Pisces;1943-02-20;true
813;Harrison;George;Pisces;1943-02-25;false
814;Redgrave;Lynn;Pisces;1943-03-08;false
815;Fischer;Bobby;Pisces;1943-03-09;false
816;Woodward;Bob;Aries;1943-03-26;true
817;Walken;Christopher;Aries;1943-03-31;true
818;Boudin;Kathy;Taurus;1943-05-19;true
819;Uggams;Leslie;Gemini;1943-05-25;true
820;Namath;Joe;Gemini;1943-05-31;true
821;Gingrich;Newt;Gemini;1943-06-17;true
822;Levine;James;Cancer;1943-06-23;true
823;Rivera;Geraldo;Cancer;1943-07-04;true
824;Ashe;Arthur;Cancer;1943-07-10;false
825;Hutchison;Kay Bailey;Cancer;1943-07-22;true
826;Jagger;Mick;Leo;1943-07-26;true
827;Bradley;Bill;Leo;1943-07-28;true
828;Bennett;William J;Leo;1943-07-31;true
829;Cheever;Susan;Leo;1943-07-31;true
830;De Niro;Robert;Leo;1943-08-17;true
831;Bruckheimer;Jerry;Virgo;1943-09-21;true
832;Gates;Robert M;Libra;1943-09-25;true
833;North;Oliver L;Libra;1943-10-07;true
834;Mitchell;Joni;Scorpio;1943-11-07;true
835;Chambliss;Saxby;Scorpio;1943-11-10;true
836;Shawn;Wallace;Scorpio;1943-11-12;true
837;King;Billie Jean;Scorpio;1943-11-22;true
838;Newman;Randy;Sagittarius;1943-11-28;true
839;Negroponte;Nicholas;Sagittarius;1943-12-01;true
840;Kerry;John;Sagittarius;1943-12-11;true
841;Richards;Keith;Sagittarius;1943-12-18;true
842;Wolfowitz;Paul D;Capricorn;1943-12-22;true
843;Shearer;Harry;Capricorn;1943-12-23;true
844;Roberts;Cokie;Capricorn;1943-12-27;false
845;Denver;John;Capricorn;1943-12-31;false
846;Kingsley;Ben;Capricorn;1943-12-31;true
847;Rendell;Edward G;Capricorn;1944-01-05;true
848;Walker;Alice;Aquarius;1944-02-09;true
849;Channing;Stockard;Aquarius;1944-02-13;true
850;Bernstein;Carl;Aquarius;1944-02-14;true
851;Ross;Diana;Aries;1944-03-26;true
852;King;Angus Jr;Aries;1944-03-31;true
853;Lucas;George;Taurus;1944-05-14;true
854;Dodd;Christopher J;Gemini;1944-05-27;true
855;Giuliani;Rudolph W;Gemini;1944-05-28;true
856;Hamlisch;Marvin;Gemini;1944-06-02;false
857;Ban Ki-moon;;Gemini;1944-06-13;true
858;Mueller;Robert S III;Leo;1944-08-07;true
859;Springer;Jerry;Leo;1944-08-13;true
860;Ellison;Lawrence J;Leo;1944-08-17;true
861;Slatkin;Leonard;Virgo;1944-09-01;true
862;Douglas;Michael;Libra;1944-09-25;true
863;Carville;James;Scorpio;1944-10-25;true
864;Chalabi;Ahmad;Scorpio;1944-10-30;false
865;DeVito;Danny;Scorpio;1944-11-17;true
866;Michaels;Lorne;Scorpio;1944-11-17;true
867;Durbin;Richard J;Scorpio;1944-11-21;true
868;Stein;Ben;Sagittarius;1944-11-25;true
869;Thomas;Michael Tilson;Sagittarius;1944-12-21;true
870;Clark;Wesley K;Capricorn;1944-12-23;true
871;Foster;Vincent W Jr;Capricorn;1945-01-15;false
872;Selleck;Tom;Aquarius;1945-01-29;true
873;Marley;Bob;Aquarius;1945-02-06;false
874;Farrow;Mia;Aquarius;1945-02-09;true
875;Craig;Gregory B;Pisces;1945-03-04;true
876;Clapton;Eric;Aries;1945-03-30;true
877;Wilson;August;Taurus;1945-04-27;false
878;Townshend;Pete;Taurus;1945-05-19;true
879;Pataki;George E;Cancer;1945-06-24;true
880;Simon;Carly;Cancer;1945-06-25;true
881;Paulos;John Allen;Cancer;1945-07-04;true
882;Mirren;Helen;Leo;1945-07-26;true
883;Weld;William F;Leo;1945-07-31;true
884;Martin;Steve;Leo;1945-08-14;true
885;Ridge;Tom;Virgo;1945-08-26;true
886;Perlman;Itzhak;Virgo;1945-08-31;true
887;Norman;Jessye;Virgo;1945-09-15;false
888;Dobbs;Lou;Libra;1945-09-24;true
889;Lithgow;John;Libra;1945-10-19;true
890;Feinberg;Kenneth R;Libra;1945-10-23;true
891;Berger;Samuel R;Scorpio;1945-10-28;false
892;Ortega Saavedra;Daniel;Scorpio;1945-11-11;true
893;Midler;Bette;Sagittarius;1945-12-01;true
894;Sawyer;Diane;Capricorn;1945-12-22;true
895;Jamieson;Kathleen Hall;Capricorn;1946-01-01;true
896;Keaton;Diane;Capricorn;1946-01-05;true
897;Parton;Dolly;Capricorn;1946-01-19;true
898;Lynch;David;Capricorn;1946-01-20;true
899;Webb;James H Jr;Aquarius;1946-02-09;true
900;Hines;Gregory;Aquarius;1946-02-14;false
901;Minnelli;Liza;Pisces;1946-03-12;true
902;Paulson;Henry M Jr;Aries;1946-03-28;true
903;Bergen;Candice;Taurus;1946-05-09;true
904;Cher;;Taurus;1946-05-20;true
905;Trump;Donald J;Gemini;1946-06-14;true
906;Reich;Robert B;Cancer;1946-06-24;true
907;Radner;Gilda;Cancer;1946-06-28;false
908;Silver;Ron;Cancer;1946-07-02;false
909;Milken;Michael R;Cancer;1946-07-04;true
910;Bush;George W;Cancer;1946-07-06;false
911;Stallone;Sylvester;Cancer;1946-07-06;true
912;Markey;Edward J;Cancer;1946-07-11;true
913;Ronstadt;Linda;Cancer;1946-07-15;true
914;Starr;Kenneth W;Cancer;1946-07-21;true
915;Glover;Danny;Cancer;1946-07-22;true
916;Clinton;Bill;Leo;1946-08-19;true
917;Chung;Connie;Leo;1946-08-20;true
918;Jones;Tommy Lee;Virgo;1946-09-15;true
919;Stone;Oliver;Virgo;1946-09-15;true
920;Whitman;Christine Todd;Libra;1946-09-26;true
921;Hagel;Chuck;Libra;1946-10-04;true
922;Sarandon;Susan;Libra;1946-10-04;true
923;Bush;Laura;Scorpio;1946-11-04;true
924;Field;Sally;Scorpio;1946-11-06;true
925;Morris;Dick;Sagittarius;1946-11-28;true
926;Versace;Gianni;Sagittarius;1946-12-02;false
927;Ovitz;Michael;Sagittarius;1946-12-14;true
928;Spielberg;Steven;Sagittarius;1946-12-18;true
929;Perdue;Sonny;Sagittarius;1946-12-20;true
930;Buffett;Jimmy;Capricorn;1946-12-25;true
931;Faithfull;Marianne;Capricorn;1946-12-29;true
932;DeWine;Mike;Capricorn;1947-01-05;true
933;Bowie;David;Capricorn;1947-01-08;false
934;Quayle;Dan;Aquarius;1947-02-04;true
935;Hadley;Stephen J;Aquarius;1947-02-13;true
936;Reiner;Rob;Pisces;1947-03-06;true
937;Romney;Mitt;Pisces;1947-03-12;true
938;Close;Glenn;Pisces;1947-03-19;true
939;John;Elton;Aries;1947-03-25;true
940;Harris;Emmylou;Aries;1947-04-02;true
941;Delay;Tom;Aries;1947-04-08;true
942;Letterman;David;Aries;1947-04-12;true
943;Abdul-Jabbar;Kareem;Aries;1947-04-16;true
944;Card;Andrew H Jr;Taurus;1947-05-10;true
945;Nadler;Jerrold;Gemini;1947-06-13;true
946;Chavez;Linda;Gemini;1947-06-17;true
947;Rushdie;Salman;Gemini;1947-06-19;true
948;Goodman;John;Gemini;1947-06-20;true
949;David;Larry;Cancer;1947-07-02;true
950;Barry;Dave;Cancer;1947-07-03;true
951;Buckley;Betty;Cancer;1947-07-03;true
952;Simpson;O J;Cancer;1947-07-09;true
953;Guthrie;Arlo;Cancer;1947-07-10;true
954;Brooks;Albert;Cancer;1947-07-22;true
955;Ebersol;Dick;Leo;1947-07-28;true
956;Schwarzenegger;Arnold;Leo;1947-07-30;true
957;King;Stephen;Virgo;1947-09-21;true
958;Barbour;Haley;Libra;1947-10-22;true
959;Kline;Kevin;Scorpio;1947-10-24;true
960;Clinton;Hillary Rodham;Scorpio;1947-10-26;true
961;Dreyfuss;Richard;Scorpio;1947-10-29;true
962;Magaziner;Ira C;Scorpio;1947-11-08;true
963;Mantegna;Joe;Scorpio;1947-11-13;true
964;Richardson;Bill;Scorpio;1947-11-15;true
965;Daschle;Tom;Sagittarius;1947-12-09;true
966;Danson;Ted;Capricorn;1947-12-29;true
967;Baryshnikov;Mikhail;Aquarius;1948-01-27;true
968;Morris;Errol;Aquarius;1948-02-05;true
969;Peters;Bernadette;Pisces;1948-02-28;true
970;Taylor;James;Pisces;1948-03-12;true
971;Coburn;Tom;Pisces;1948-03-14;false
972;Crystal;Billy;Pisces;1948-03-14;true
973;Lloyd Webber;Andrew;Aries;1948-03-22;true
974;Wiest;Dianne;Aries;1948-03-28;true
975;Gore;Al;Aries;1948-03-31;true
976;Sebelius;Kathleen;Taurus;1948-05-15;true
977;Thomas;Clarence;Cancer;1948-06-23;true
978;Bates;Kathy;Cancer;1948-06-28;true
979;Zukerman;Pinchas;Cancer;1948-07-16;true
980;Trudeau;Garry;Cancer;1948-07-21;true
981;Daley;William M;Leo;1948-08-09;true
982;Battle;Kathleen;Leo;1948-08-13;true
983;Gore;Tipper;Leo;1948-08-19;true
984;Gumbel;Bryant;Libra;1948-09-29;true
985;Mfume;Kweisi;Scorpio;1948-10-24;true
986;LaPierre;Wayne;Scorpio;1948-11-08;true
987;Dean;Howard;Scorpio;1948-11-17;true
988;Bolton;John R;Scorpio;1948-11-20;true
989;Ross;Dennis B;Sagittarius;1948-11-26;true
990;Osbourne;Ozzy;Sagittarius;1948-12-03;true
991;Nickles;Don;Sagittarius;1948-12-06;true
992;Depardieu;Gerard;Capricorn;1948-12-27;true
993;Podesta;John D;Capricorn;1949-01-08;true
994;Foreman;George;Capricorn;1949-01-10;true
995;Chernow;Ron;Pisces;1949-03-03;true
996;Macy;William H;Pisces;1949-03-13;true
997;Turow;Scott;Aries;1949-04-12;true
998;Hitchens;Christopher;Aries;1949-04-13;false
999;Lange;Jessica;Aries;1949-04-20;true
1000;Joel;Billy;Taurus;1949-05-09;true
1001;Ax;Emanuel;Gemini;1949-06-08;true
1002;Streep;Meryl;Cancer;1949-06-22;true
1003;Carter;Graydon;Cancer;1949-07-14;true
1004;Menken;Alan;Cancer;1949-07-22;true
1005;Fallows;James;Leo;1949-08-02;true
1006;Hutchinson;Tim;Leo;1949-08-11;true
1007;Gere;Richard;Virgo;1949-08-31;true
1008;Scheck;Barry;Virgo;1949-09-19;true
1009;Springsteen;Bruce;Virgo;1949-09-23;true
1010;Almodovar;Pedro;Libra;1949-09-25;true
1011;Leibovitz;Annie;Libra;1949-10-02;true
1012;Moonves;Leslie;Libra;1949-10-06;true
1013;Weaver;Sigourney;Libra;1949-10-08;true
1014;Netanyahu;Benjamin;Libra;1949-10-21;true
1015;Wintour;Anna;Scorpio;1949-11-03;true
1016;Raitt;Bonnie;Scorpio;1949-11-08;true
1017;Tripp;Linda R;Sagittarius;1949-11-24;false
1018;Shandling;Garry;Sagittarius;1949-11-29;false
1019;Bridges;Jeff;Sagittarius;1949-12-04;true
1020;Johnson;Don;Sagittarius;1949-12-15;true
1021;Spacek;Sissy;Capricorn;1949-12-25;true
1022;Prince;Charles O III;Capricorn;1950-01-13;true
1023;Flowers;Gennifer;Aquarius;1950-01-24;true
1024;Spitz;Mark;Aquarius;1950-02-10;true
1025;Hanover;Donna;Aquarius;1950-02-13;true
1026;Hurt;William;Pisces;1950-03-20;true
1027;Short;Martin;Aries;1950-03-26;true
1028;Alito;Samuel A Jr;Aries;1950-04-01;true
1029;Guinier;Lani;Aries;1950-04-19;true
1030;Leno;Jay;Taurus;1950-04-28;true
1031;Russert;Tim;Taurus;1950-05-07;false
1032;Wonder;Stevie;Taurus;1950-05-13;true
1033;Duke;David E;Cancer;1950-07-01;true
1034;Huffington;Arianna;Cancer;1950-07-15;true
1035;Branson;Richard;Cancer;1950-07-18;true
1036;Keyes;Alan;Leo;1950-08-07;true
1037;Noonan;Peggy;Virgo;1950-09-07;true
1038;Gates;Henry Louis Jr;Virgo;1950-09-16;true
1039;Smith;Anna Deavere;Virgo;1950-09-18;true
1040;Murray;Bill;Virgo;1950-09-21;true
1041;Murray;Patty;Libra;1950-10-11;true
1042;Clarke;Richard A;Scorpio;1950-10-27;true
1043;Harris;Ed;Sagittarius;1950-11-28;true
1044;Hutchinson;Asa;Sagittarius;1950-12-03;true
1045;Katzenberg;Jeffrey;Sagittarius;1950-12-21;true
1046;Rove;Karl;Capricorn;1950-12-25;true
1047;Collins;Phil;Aquarius;1951-01-30;true
1048;Kinsley;Michael;Pisces;1951-03-09;true
1049;Hilfiger;Tommy;Aries;1951-03-24;true
1050;Franken;Al;Gemini;1951-05-21;true
1051;Townsend;Kathleen Kennedy;Cancer;1951-07-04;true
1052;Rush;Geoffrey;Cancer;1951-07-06;true
1053;Huston;Anjelica;Cancer;1951-07-08;true
1054;Dyson;Esther;Cancer;1951-07-14;true
1055;Williams;Robin;Cancer;1951-07-21;false
1056;Mellencamp;John;Libra;1951-10-07;true
1057;Stewart;James B;Capricorn;1952-01-01;true
1058;Dowd;Maureen;Capricorn;1952-01-14;true
1059;Cornyn;John;Aquarius;1952-02-02;true
1060;Fuhrman;Mark;Aquarius;1952-02-05;true
1061;Tan;Amy;Pisces;1952-02-19;true
1062;Frist;Bill;Pisces;1952-02-22;true
1063;Weinstein;Harvey;Pisces;1952-03-19;true
1064;Isaacson;Walter;Pisces;1952-03-20;true
1065;Costas;Bob;Aries;1952-03-22;true
1066;Seagal;Steven;Aries;1952-04-10;true
1067;Belichick;Bill;Aries;1952-04-16;true
1068;Baranski;Christine;Taurus;1952-05-02;true
1069;Fierstein;Harvey;Gemini;1952-06-06;true
1070;Rossellini;Isabella;Gemini;1952-06-18;true
1071;Graham;Franklin;Cancer;1952-07-14;true
1072;van Sant;Gus;Leo;1952-07-24;true
1073;Connors;Jimmy;Virgo;1952-09-02;true
